Eppchs,Batch_Size,NumberOfChannels,Filters,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
30,32,6,64,3,0.01,0.000454458901072482,0.9952135018264086, False
30,32,6,100,3,0.01,0.00031311336253449625,0.9960194682255497, False
30,32,7,25,3,0.01,0.0003052773185194508,0.9946716021434678, False
30,32,7,64,3,0.01,0.000247609218392628,0.9931438203205754, False
30,32,7,100,3,0.01,0.0002983466239130642,0.995300012503662, False
30,32,8,25,3,0.01,0.0002076213302254657,0.9951614304055365, False
30,32,8,64,3,0.01,0.0003690442316291058,0.992637096887746, False
30,32,8,100,3,0.01,0.0011789713912745859,0.9953486585561363, False
30,32,2,25,3,0.1,0.0030284598595159773,0.9496962386724527, False
30,32,2,64,3,0.1,0.0027290112935517883,0.9535169078709398, False
30,32,2,100,3,0.1,0.0022080334952028686,0.9460158792480543, False
30,32,3,25,3,0.1,0.0019641141254214834,0.954432956467992, False
30,32,3,64,3,0.1,0.0020060075139166984,0.9473693005925267, False
30,32,3,100,3,0.1,0.0023425012520120066,0.9438469862451812, False
30,32,4,25,3,0.1,0.002184821994049569,0.9473559753724651, False
30,32,4,64,3,0.1,0.0020621539213976107,0.9447361530772382, False
30,32,4,100,3,0.1,0.002709636870560433,0.9394863410517417, False
30,32,5,25,3,0.1,0.00046011637345271493,0.9901540072587851, False
30,32,5,64,3,0.1,0.0018668583765679043,0.9501092788923695, False
30,32,5,100,3,0.1,0.0019739493150747823,0.9443642792984445, False
30,32,6,25,3,0.1,0.0007229721694235282,0.9809925372281143, False
30,32,6,64,3,0.1,0.0027418508416846175,0.9499858271530587, False
30,32,6,100,3,0.1,0.0023431113154890695,0.9523097401081013, False
30,32,7,25,3,0.1,0.0023943857329145487,0.9498408680724862, False
30,32,7,64,3,0.1,0.0009202039791656409,0.9771541763033302, False
30,32,7,100,3,0.1,0.0033530993688130895,0.9787678701124206, False
30,32,8,25,3,0.1,0.0010092057194806443,0.9796506564700563, False
30,32,8,64,3,0.1,0.0022123411149313752,0.9453446944270105, False
30,32,8,100,3,0.1,0.0017939110972085295,0.9566522088927643, False
70,32,2,25,3,0.0005,0.002016040365246553,0.9497494016441621, False
70,32,2,64,3,0.0005,0.0038836175950276663,0.9487004392815064, False
70,32,2,100,3,0.0005,0.001620648766825559,0.9561608706686385, False
70,32,3,25,3,0.0005,0.0036025863736358745,0.9454331355666031, False
70,32,3,64,3,0.0005,0.0010318691809714114,0.9811063067927565, False
70,32,3,100,3,0.0005,0.0011804774381078765,0.9815491168244921, False
70,32,4,25,3,0.0005,0.00047809313980843227,0.9897269469809202, False
70,32,4,64,3,0.0005,0.0009440645892479315,0.9928983278706329, False
70,32,4,100,3,0.0005,0.0011843167477043252,0.993551234230194, False
70,32,5,25,3,0.0005,0.001481520082903515,0.9946949087085802, False
70,32,5,64,3,0.0005,0.000808915859457542,0.9944905291310142, False
70,32,5,100,3,0.0005,0.0007382140289026354,0.996132173754486, False
