Currency,MSE,PearsonCorrelation,DTW,FAST_DTW
EURGBP_D1,2.3649001170821097e-05,0.9775111803308465,2.0316586223983775,1.7630816413307193
USDJPY_D1,0.21497461503200915,0.9811382029978947,150.99572143554673,139.6126228027344
AUDUSD_D1,4.130060090920522e-05,0.987824170816903,3.019970735778808,2.1809899745559673
AUDCAD_D1,2.2815412453749436e-05,0.9903684390834325,1.693982442646025,1.4560335612297022
EURUSD_D1,2.403164790534166e-05,0.9916620522919157,1.5584610047149656,1.4554133352661116
USDCAD_D1,3.763431471415358e-05,0.982206798331025,1.852403422164917,1.6729414279556274
EURCAD_D1,5.194861602665376e-05,0.9841977150342147,2.4589127905654893,2.245947417640683
GBPUSD_D1,5.0147817472233954e-05,0.9880450990834754,2.0820980569076513,1.9469514125442478
EURCHF_D1,1.3220362953723936e-05,0.9958720932313208,1.515235503425601,1.2618578371047986
EURJPY_D1,0.5405533253570481,0.990759513186087,338.89726458740256,275.4044341430671
EURAUD_D1,9.707562542207021e-05,0.9813349569086585,3.8294573554992652,3.2197199910736094
EURGBP_H4,0.00019880163251987648,0.962877970118981,56.79089476322178,30.39489889860135
USDJPY_H4,0.1191664814947488,0.9898696359239484,907.0011486816402,792.7250977783209
AUDUSD_H4,8.135564168073135e-05,0.9825811442578568,30.13015778921124,20.181274540729365
AUDCAD_H4,6.918950662122942e-05,0.9904123680117157,28.9591395792007,19.007049834232177
EURUSD_H4,6.61168641725797e-05,0.9859803810028515,25.009308764228773,20.313727809219348
USDCAD_H4,0.00015951236428899486,0.9582956711134646,45.21951193412778,36.85695179031349
EURCAD_H4,0.00010958237152030169,0.9818183854723733,33.96427533111576,25.04764845386502
GBPUSD_H4,0.0012834330718716604,0.9888509043582232,153.7078193356705,57.55441897361765
EURCHF_H4,0.00040148161261584594,0.9976624174752288,87.519946168289,36.0843004230499
EURJPY_H4,0.9953776159272512,0.9937137815630701,3533.222277282712,2173.6742988891638
EURAUD_H4,0.00015040163650359797,0.9697176400215801,36.57150112155938,25.94060460475925
EURGBP_H1,0.00011618489400788317,0.9951251710996308,108.21196192571686,62.87855754694003
USDJPY_H1,0.4138708036893551,0.9974649657220646,5735.20912268065,4388.9959124755715
AUDUSD_H1,0.00047242267093212676,0.9728949914537053,251.04170600463712,128.29236766420698
AUDCAD_H1,4.170939366207981e-05,0.9780938355341993,59.01134229927051,42.94784737962693
EURUSD_H1,3.350274971074606e-05,0.9754461447989402,52.33086407070194,41.981897133903665
USDCAD_H1,0.0003657016347881796,0.9150053689445922,183.1106169827272,154.3590511426178
EURCAD_H1,8.463162358031783e-05,0.9875208753296432,85.76495199813861,68.54652724700988
GBPUSD_H1,0.00014225841097933282,0.9965873249386401,119.11680551979055,84.56354138294147
EURCHF_H1,0.0007314548343407238,0.9851967268944186,338.45129989765144,142.5560318314829
EURJPY_H1,1.004712444696883,0.9949400391597492,9520.168224670426,7855.889744506774
EURAUD_H1,0.00011031483175740736,0.9903445254872683,95.27390144763989,70.21256380157536
EURGBP_M30,0.0004716430788811062,0.9692687660963221,630.7592436712645,225.34425109151442
USDJPY_M30,0.3071060813442889,0.9952565039659439,12732.85671508785,9150.70389562994
AUDUSD_M30,0.0002539561930763021,0.9298557980381285,377.0608311447885,281.21212994613046
AUDCAD_M30,0.0003070272069122892,0.7812917048835715,268.1023744571885,252.54433111713118
EURUSD_M30,3.84624585350668e-05,0.9946843160093305,139.9698043167102,111.81413002521472
USDCAD_M30,0.00017442343756674634,0.9361817431355925,325.22439018821706,249.25847139129914
EURCAD_M30,0.0002868424809595779,0.9836841550148772,422.0724424626149,229.6351775363943
GBPUSD_M30,0.00018212897010529974,0.9850657955364739,319.8917170420832,217.2100101817691
EURCHF_M30,0.0005885789533619432,0.9866005538089508,694.7787856021532,345.70080618324045
EURJPY_M30,0.562136856816528,0.9940251609680144,17096.88235375981,15978.701881286757
EURAUD_M30,0.00012211346044280807,0.9925940318962618,251.26136309005682,204.84706436355526
