Currency,MSE,PearsonCorrelation,DTW,FAST_DTW
EURGBP_D1,4.2881773014515596e-05,0.9715433450587551,3.4165184237480166,2.441977499999997
USDJPY_D1,115.2757631837426,0.871669885394694,8908.743325439445,8908.743325439445
AUDUSD_D1,0.00011315733168758895,0.9681336838260811,4.669489574527744,2.7204509239959704
AUDCAD_D1,6.049653934952083e05,0.9737044527650403,3.9964721197891224,2.400516280040738
EURUSD_D1,0.00011393183744805478,0.961095503556196,6.020053241081238,5.52937165763855
USDCAD_D1,0.0001805312486361849,0.955440982022766,7.26351129772185,4.679840987586974
EURCAD_D1,8.826612505600738e05,0.9821463549464029,4.544944482841488,3.07658501987457
GBPUSD_D1,0.00039093941371980953,0.9057724932000832,11.407456262168889,7.821869355850235
EURCHF_D1,0.00023268032443436878,0.9287032090752918,10.616853898620608,6.046427421035775
EURJPY_D1,21.657827192477846,0.9651165258324632,3682.3963450927695,1667.9839749145572
EURAUD_D1,0.0008376250828777772,0.9830254188950621,19.78478061809539,9.718396809921238
EURGBP_H4,0.0004736464763982772,0.9536721394555853,90.720722198505,40.844558191509265
USDJPY_H4,118.14936448703301,0.9515501870440536,47803.52175836177,47803.52175836177
AUDUSD_H4,0.00044969853968354704,0.9233102286989168,68.99912521507275,32.9944735747336
AUDCAD_H4,5.8758937170831684e05,0.9804522355959021,24.56053585498808,15.119409550113547
EURUSD_H4,0.00021896554259836736,0.9636385234829454,54.669603946075554,29.37458767402669
USDCAD_H4,0.00018857414055038343,0.9637905545250963,43.809249339752185,22.8644753933335
EURCAD_H4,7.998438055583343e05,0.9821974066744911,26.492438810577323,19.51284638866426
GBPUSD_H4,0.0007337320680993042,0.9157429183648303,88.11689007293728,55.311212547263935
EURCHF_H4,0.00018943670309771955,0.9400458689998772,52.335086214675876,30.441464330635686
EURJPY_H4,20.618025545311973,0.984900192751845,19279.09284912102,6226.128262207013
EURAUD_H4,0.0006202597246280264,0.9780242326158637,86.79539051231401,38.424906352271364
EURGBP_H1,0.00028805447548692586,0.9766303158116324,181.28630836740405,119.98303550869052
USDJPY_H1,193.12860754284966,0.9953115885353652,170016.24977899127,139862.4563128719
AUDUSD_H1,0.00035611086559440066,0.9501091304483663,211.63855660465111,103.53812337324119
AUDCAD_H1,4.191495700072865e-05,0.9656784122441098,58.87351930036556,43.340166003093636
EURUSD_H1,0.00010039069211468934,0.9377638787565614,99.14656767787928,59.78147299255357
USDCAD_H1,0.00047634329159290754,0.9639978884993221,217.12797721614808,99.00290014808596
EURCAD_H1,0.0001588908774573259,0.9809161259152053,121.01173875541643,87.25427194625806
GBPUSD_H1,0.0008662140615108042,0.9867755233162049,325.7105359548573,141.27744510311646
EURCHF_H1,0.0003878560065742954,nan,192.2314330462655,192.2314330462655
EURJPY_H1,29.430808560822754,0.9902847361921975,63962.81351867663,24509.044986814784
EURAUD_H1,0.00025367634753016745,0.9749066350978672,151.606989705847,80.69269922954514
EURGBP_M30,0.0005054894591749719,0.9368708354646872,633.9940803311351,239.59036192471615
USDJPY_M30,142.23080063699888,0.9867177909178567,351743.17814306635,340365.5729487274
AUDUSD_M30,0.00047537319124732496,0.947143459303284,602.5486318526687,241.6766154281346
AUDCAD_M30,6.355480263722227e-05,0.9596321351313473,176.02901866046855,128.90090442495213
EURUSD_M30,0.00023059302101340845,0.9602082680218701,363.81682195728337,202.83123556204558
USDCAD_M30,0.00036963178419670067,0.9343019437595409,459.35700802158465,191.22159219262323
EURCAD_M30,0.0001008520818783021,0.983314860041761,239.11766026271837,148.18101746413905
GBPUSD_M30,0.0006686918386383151,0.9048616774425703,612.455414071885,340.2995290519517
EURCHF_M30,0.0005446438188838195,0.9173606592144056,596.3763631226711,299.9034591920108
EURJPY_M30,30.968135510305412,0.9882709997941957,157722.61602410793,71165.37246197376
EURAUD_M30,0.0002368005455157972,0.9893872188889119,366.3145002070241,200.38125369842618
