Currency,MSE,PearsonCorrelation,DTW,FAST_DTW
EURGBP_D1,1.8342047382450853e-05,0.9766039941333772,1.108256137828826,1.1022323745155331
USDJPY_D1,0.7112477588323909,0.953057237621389,452.0261085205074,356.0750720214831
AUDUSD_D1,1.960537483305149e-05,0.9926737990729954,1.4107283460807758,1.3132465658187829
AUDCAD_D1,2.1950390154249567e-05,0.9902028075038527,1.44996266441345,1.2793902560996988
EURUSD_D1,2.0808168058951404e-05,0.9927457457262503,0.93773608959198,0.9139839688491815
USDCAD_D1,3.6328097109809196e-05,0.9817042967025481,1.5856835106277447,1.4788705797195425
EURCAD_D1,4.6197635584226564e-05,0.9841174913438625,1.6241505266952503,1.5620158413314829
GBPUSD_D1,5.495882413546776e-05,0.9868341879465305,1.8971306956481935,1.732637803153991
EURCHF_D1,1.1923824225100773e-05,0.9966932857817388,1.202749834213255,1.1063053579711883
EURJPY_D1,8.071806270754784,0.9872982624030745,2222.405281372072,1151.2939251708976
EURAUD_D1,6.798600669217784e-05,0.9855673846878664,1.740554491729738,1.690828568305971
EURGBP_H4,0.00011906657243872961,0.9789676997386598,43.348988844585456,20.757423148860873
USDJPY_H4,0.7275158770659768,0.9530140202677544,2842.6024784545857,1998.012719665527
AUDUSD_H4,0.0001343851656584394,0.9907810553479942,43.410029200382354,21.348715173721192
AUDCAD_H4,5.838288360369235e-05,0.988556235061087,25.339036652889224,17.54507339416501
EURUSD_H4,2.3009097679066427e-05,0.9966913402233751,14.650812368850698,10.45470905128478
USDCAD_H4,9.538316979965801e-05,0.9816837403813617,33.99718495159142,21.880554579544114
EURCAD_H4,0.00012160090679834297,0.9887295672576817,39.238648983612066,26.09343199123381
GBPUSD_H4,0.001149141589745594,0.9919865192390648,146.28347521129612,57.16111557548526
EURCHF_H4,0.00027828669585850004,0.9977100237001167,72.47347736030584,28.741614455413828
EURJPY_H4,8.810080808731051,0.9836482777886228,12406.929698730446,5253.495627075203
EURAUD_H4,5.4632422591755786e-05,0.9908948130718707,19.292364818267828,17.037306613845892
EURGBP_H1,0.00011488781258365252,0.9962446754805446,114.2150929711721,54.691537294998035
USDJPY_H1,5.053595511176433,0.9951480821493995,24448.66917980963,13890.733105407538
AUDUSD_H1,0.0003196015436146439,0.9827079906993923,213.3194984556568,90.60405578504823
AUDCAD_H1,3.616948881718509e-05,0.9813104081412436,55.198092691841,41.23922513708102
EURUSD_H1,6.735257577255392e-05,0.9851895683096317,84.77502283206972,49.01096143737815
USDCAD_H1,0.0003806748357438879,0.9879538026290764,224.62640917560603,100.8991041900245
EURCAD_H1,6.443911729105706e-05,0.990924929658592,71.58983073532097,56.98195766563377
GBPUSD_H1,4.6564053285116604e-05,0.9984075607267499,62.16866817203525,51.77909972728691
EURCHF_H1,0.00034495312063019166,0.9912953977428985,231.60518661212822,77.2036279481164
EURJPY_H1,10.318825353411038,0.992278663060373,38094.825485107554,16649.402597412653
EURAUD_H1,5.0096254067313076e-05,0.9922443763304949,58.12653581607834,49.728494812469854
EURGBP_M30,0.0003562414755293693,0.9818054989222097,548.4241053508358,190.58645713648679
USDJPY_M30,2.626341634626249,0.9813718072520099,41922.359858397955,19898.84813647488
AUDUSD_M30,0.0003397384619458985,0.982518359127108,527.0244710250463,186.36726875774116
AUDCAD_M30,2.3549077403727648e-05,0.9823028721667814,104.39941505941331,82.90640864353246
EURUSD_M30,0.00010198658658794277,0.9978021690433965,273.30867246044266,133.32908255779066
USDCAD_M30,0.00014011253936088266,0.9834399672100097,302.47624045379604,177.57235476639008
EURCAD_M30,0.00020074409220042504,0.9916251881844315,363.2736345397188,177.5551443915177
GBPUSD_M30,3.726124066719638e-05,0.9933877530535473,138.75987743572236,114.90869807689745
EURCHF_M30,0.00021366825099502937,0.996878542687172,420.91223370437524,186.03615528087659
EURJPY_M30,9.755399748080563,0.9877979591297247,87681.31563012754,41160.72360742269
EURAUD_M30,5.5149245882405714e-05,0.995534957275485,162.96844112956964,132.90344949115746
