Model,InitialBudget,Risk_Factor,Smooth_Factor,Leverage,Final_Budget
CNN,200,0.30000000000000004,7,450,179.3027520179773
CNN,200,0.30000000000000004,7,500,176.55101503644937
CNN,200,0.30000000000000004,8,50,191.45513921976175
CNN,200,0.30000000000000004,8,100,191.22815281152816
CNN,200,0.30000000000000004,8,150,190.72763025760742
CNN,200,0.30000000000000004,8,200,190.103618800641
CNN,200,0.30000000000000004,8,250,189.24437761306845
CNN,200,0.30000000000000004,8,300,187.8981813788422
CNN,200,0.30000000000000004,8,350,186.44378483295512
CNN,200,0.30000000000000004,8,400,184.68126952648225
CNN,200,0.30000000000000004,8,450,182.67091363668501
CNN,200,0.30000000000000004,8,500,180.26314377784783
CNN,200,0.30000000000000004,9,50,192.50052769978575
CNN,200,0.30000000000000004,9,100,192.29876200357808
CNN,200,0.30000000000000004,9,150,191.8538530667597
CNN,200,0.30000000000000004,9,200,191.2991762161229
CNN,200,0.30000000000000004,9,250,190.53540627161402
CNN,200,0.30000000000000004,9,300,189.33878739674626
CNN,200,0.30000000000000004,9,350,188.0459904670688
CNN,200,0.30000000000000004,9,400,186.47931019464846
CNN,200,0.30000000000000004,9,450,184.6923271814953
CNN,200,0.30000000000000004,9,500,182.55208730697325
CNN,200,0.30000000000000004,10,50,192.9161357879635
CNN,200,0.30000000000000004,10,100,192.7345466613764
CNN,200,0.30000000000000004,10,150,192.3341286182397
CNN,200,0.30000000000000004,10,200,191.83491945266636
CNN,200,0.30000000000000004,10,250,191.1475265026082
CNN,200,0.30000000000000004,10,300,190.07056951522705
CNN,200,0.30000000000000004,10,350,188.90705227851734
CNN,200,0.30000000000000004,10,400,187.497040033339
CNN,200,0.30000000000000004,10,450,185.88875532150107
CNN,200,0.30000000000000004,10,500,183.9625394344312
CNN,200,0.4,1,50,114.18309211730674
CNN,200,0.4,1,100,109.40418243407912
CNN,200,0.4,1,150,98.75764846801472
CNN,200,0.4,1,200,84.89494323730186
CNN,200,0.4,1,250,63.39426040649154
CNN,200,0.4,1,300,45.75009346008072
CNN,200,0.4,1,350,27.590942382810447
CNN,200,0.4,1,400,7.054948806760825
CNN,200,0.4,1,450,0.004902462567054704
CNN,200,0.4,1,500,5.034702951064479e-08
CNN,200,0.4,2,50,152.9014587402329
CNN,200,0.4,2,100,151.69086456298686
CNN,200,0.4,2,150,149.02141094207622
CNN,200,0.4,2,200,145.69334983825536
CNN,200,0.4,2,250,141.7002439498885
CNN,200,0.4,2,300,136.0638380050641
CNN,200,0.4,2,350,129.1056156158428
CNN,200,0.4,2,400,120.02785205840866
CNN,200,0.4,2,450,108.01627635955612
CNN,200,0.4,2,500,94.39661502837936
CNN,200,0.4,3,50,168.55740547180102
CNN,200,0.4,3,100,167.75034268697016
CNN,200,0.4,3,150,165.97070693969624
CNN,200,0.4,3,200,163.75199953714895
CNN,200,0.4,3,250,160.69691975911343
CNN,200,0.4,3,300,155.9104442596423
CNN,200,0.4,3,350,150.73925654093307
CNN,200,0.4,3,400,144.4725354512521
CNN,200,0.4,3,450,137.32460339863997
CNN,200,0.4,3,500,128.76364390055238
CNN,200,0.4,4,50,178.19634675979634
CNN,200,0.4,4,100,177.59104967117335
CNN,200,0.4,4,150,176.25632286071803
CNN,200,0.4,4,200,174.5922923088076
CNN,200,0.4,4,250,172.30098247528093
CNN,200,0.4,4,300,168.71112585067763
CNN,200,0.4,4,350,164.83273506164556
CNN,200,0.4,4,400,160.13269424438474
CNN,200,0.4,4,450,154.77174520492548
