Epochs,Batch_Size,Filters,Kernel,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
100,32,32 64 128 256,3,0.005,0.0005799502003653286,0.9851539088820189,False
100,32,32 64 128 256,3,0.01,0.000497399289442168,0.9911880178097702,False
100,32,32 64 128 256,3,0.1,0.0003948056756397086,0.9893705134436058,False
100,32,32 64 128 256,5,0.0005,0.013556741026559257,0.8175370047046852,False
100,32,32 64 128 256,5,0.001,0.006191974182497847,0.8181458292397144,False
100,32,32 64 128 256,5,0.005,0.0009080939399771779,0.9846060125945195,False
100,32,32 64 128 256,5,0.01,0.0019307909081052847,0.9645513750987421,False
100,32,32 64 128 256,5,0.1,0.0002780806301747688,0.9924620108384038,False
100,32,32 64 128 256,7,0.0005,0.029172378884339233,0.8378201318078763,False
100,32,32 64 128 256,7,0.001,0.0013158162806663765,0.9725005987790473,False
100,32,32 64 128 256,7,0.005,0.0004643388531876126,0.9877357908700376,False
100,32,32 64 128 256,7,0.01,0.0005205402054777712,0.9859212568003367,False
100,32,32 64 128 256,7,0.1,0.00046831856398442764,0.9874978415672567,False
100,32,32 32 32,2,0.0005,0.0014861112253923702,0.9759666087560213,False
100,32,32 32 32,2,0.001,0.0028605094480534093,0.9427279354892197,False
100,32,32 32 32,2,0.005,0.00034131529337979205,0.9923186947514595,False
100,32,32 32 32,2,0.01,0.00028219030716792926,0.9928079661311405,False
100,32,32 32 32,2,0.1,0.0005581046611218604,0.9850517822712199,False
100,32,32 32 32,3,0.0005,0.11100273130959362,0.5502768112936223,False
100,32,32 32 32,3,0.001,0.0008123392849932846,0.9806473200493406,False
100,32,32 32 32,3,0.005,0.0003159051722827984,0.9918018200114342,False
100,32,32 32 32,3,0.01,0.0013488634255614954,0.9739333202111796,False
100,32,32 32 32,3,0.1,0.00047037385399145416,0.9878899386186131,False
100,32,32 32 32,5,0.0005,0.002431799486560234,0.9320623789426623,False
100,32,32 32 32,5,0.001,0.0012651835012202598,0.9784014966725035,False
100,32,32 32 32,5,0.005,0.0006929429399148143,0.9927407325082375,False
100,32,32 32 32,5,0.01,0.0003383034185040583,0.9914668230941098,False
100,32,32 32 32,5,0.1,0.0005594980130050951,0.9856576041284209,False
100,32,32 32 32,7,0.0005,0.0076269457144875815,0.8055504948876229,False
100,32,32 32 32,7,0.001,0.0054797935689324204,0.9008470888315342,False
100,32,32 32 32,7,0.005,0.00029960864536413364,0.9925141158797294,False
100,32,32 32 32,7,0.01,0.00043464671723658887,0.9884525049449335,False
100,32,32 32 32,7,0.1,0.000782332879215108,0.9800708241900079,False
100,32,64 64 64,2,0.0005,0.013258472067094235,0.94210264318389,False
100,32,64 64 64,2,0.001,0.0017757439871972532,0.954090775717531,False
100,32,64 64 64,2,0.005,0.0004993847953261557,0.990544478637202,False
100,32,64 64 64,2,0.01,0.0003762674428489825,0.990791147078585,False
100,32,64 64 64,2,0.1,0.000415106951776694,0.9890656068968466,False
100,32,64 64 64,3,0.0005,0.004015386552013835,0.9340058804323617,False
100,32,64 64 64,3,0.001,0.0012657903532942037,0.9926345425954869,False
100,32,64 64 64,3,0.005,0.00027534730671472367,0.9929888077556669,False
100,32,64 64 64,3,0.01,0.0006699352548692316,0.9854845739261392,False
100,32,64 64 64,3,0.1,0.0006647511579342048,0.9854035281666309,False
100,32,64 64 64,5,0.0005,0.009723698170803529,0.8414513686486544,False
100,32,64 64 64,5,0.001,0.0032501367440116837,0.9144743578405407,False
100,32,64 64 64,5,0.005,0.0004029728046893978,0.9925597011911452,False
100,32,64 64 64,5,0.01,0.0004812437474916879,0.9885281036140885,False
100,32,64 64 64,5,0.1,0.0005265653700517748,0.9861985990944132,False
100,32,64 64 64,7,0.0005,0.0027819963850700177,0.9511790987068035,False
100,32,64 64 64,7,0.001,0.0010782086080422142,0.9758531919846192,False
100,32,64 64 64,7,0.005,0.000992298736979417,0.9939646907708934,False
100,32,64 64 64,7,0.01,0.0007600569389336053,0.9804448830048974,False
100,32,64 64 64,7,0.1,0.0004036329103006496,0.9893684267835703,False
100,32,128 128 128,2,0.0005,0.001821272159954814,0.975416819331381,False
100,32,128 128 128,2,0.001,0.0004745175133518291,0.993637859747067,False
100,32,128 128 128,2,0.005,0.0005567089257296711,0.9909702399611175,False
100,32,128 128 128,2,0.01,0.0006382236141827226,0.9877514458692748,False
100,32,128 128 128,2,0.1,0.00038384459678616714,0.9902064641820575,False
100,32,128 128 128,3,0.0005,0.035062695280607126,0.8493235371979336,False
100,32,128 128 128,3,0.001,0.007889387178318805,0.8975134063943528,False
100,32,128 128 128,3,0.005,0.00028250167704293186,0.9931769743728996,False
100,32,128 128 128,3,0.01,0.0008198423290031623,0.9782835659307667,False
100,32,128 128 128,3,0.1,0.0004451791909203504,0.9886530649923448,False
100,32,128 128 128,5,0.0005,0.005202717738394939,0.8806000034711956,False
100,32,128 128 128,5,0.001,0.004199687744764163,0.9572421608912505,False
100,32,128 128 128,5,0.005,0.0004691457003095981,0.9886143987656604,False
100,32,128 128 128,5,0.01,0.000611709782952493,0.9879436635378298,False
100,32,128 128 128,5,0.1,0.00046426035760230186,0.9873278661185296,False
100,32,128 128 128,7,0.0005,0.007403489113248946,0.9380134739929167,False
100,32,128 128 128,7,0.001,0.0007136900214069054,0.9848185345481996,False
100,32,128 128 128,7,0.005,0.0007730778798456441,0.9828189085159035,False
100,32,128 128 128,7,0.01,0.00030126843522175777,0.992061229502581,False
100,32,128 128 128,7,0.1,0.00052268367803485,0.9863679099472097,False
100,32,16 64 256 1024,2,0.0005,0.0042818560488844925,0.9250749008774859,False
100,32,16 64 256 1024,2,0.001,0.0004975872219454703,0.9887970493734407,False
100,32,16 64 256 1024,2,0.005,0.001337348310908839,0.9804031811720364,False
100,32,16 64 256 1024,2,0.01,0.0004280795007111705,0.9892389064036237,False
100,32,16 64 256 1024,2,0.1,0.00034810206255508436,0.9922272249787565,False
100,32,16 64 256 1024,3,0.0005,0.004512908412540026,0.8751806700267931,False
100,32,16 64 256 1024,3,0.001,0.003459916218320723,0.9088311030982567,False
100,32,16 64 256 1024,3,0.005,0.00046579917655815403,0.9878515592022842,False
100,32,16 64 256 1024,3,0.01,0.0004130655187341759,0.9902318869062541,False
100,32,16 64 256 1024,3,0.1,0.0005628877717862844,0.985317116634294,False
